population,fertility,HIV,CO2,BMI_male,GDP,BMI_female,life,child_mortality,Region
34811059,2.73,0.1,3.33,24.6,12314,129.9,75.3,29.5,Middle East & North Africa
19842251,6.43,2,1.47,22.25,7103,130.12,58.3,192,Sub-Saharan Africa
40381860,2.24,0.5,4.79,27.5,14646,118.89,75.5,15.4,America
2975029,1.4,0.1,1.8,25.36,7383,132.81,72.5,20,Europe & Central Asia
21370348,1.96,0.1,18.02,27.56,41312,117.38,81.5,5.2,East Asia & Pacific
8331465,1.41,0.3,8.18,26.47,43952,124.14,80.4,4.6,Europe & Central Asia
8868713,1.99,0.1,5.11,25.65,14365,128.6,70.6,43.3,Europe & Central Asia
348587,1.89,3.1,3.13,27.25,24373,124.39,72.2,14.5,America
148252473,2.38,0.06,0.32,20.4,2265,125.03,68.4,55.9,South Asia
277315,1.83,1.3,6.01,26.38,16075,126.39,75.3,15.4,America
9526453,1.42,0.2,6.49,26.16,14488,129.8,70.1,7.2,Europe & Central Asia
10779155,1.82,0.2,9.8,26.76,41641,121.82,79.4,4.7,Europe & Central Asia
306165,2.91,2.4,1.36,27.02,8293,120.92,70.7,20.1,America
8973525,5.27,1.2,0.54,22.42,1646,130.27,63.2,116.3,Sub-Saharan Africa
694990,2.51,0.2,0.6,22.82,5663,125.13,67.6,48.1,South Asia
9599916,3.48,0.2,1.43,24.43,5066,122.42,70.9,52,America
1967866,2.86,24.9,2.55,22.13,13858,133.13,61.2,63.8,Sub-Saharan Africa
194769696,1.9,0.45,2.02,25.79,13906,124.87,73.9,18.6,America
7513646,1.43,0.1,6.69,26.54,15368,128.47,73.2,13.7,Europe & Central Asia
14709011,6.04,1.2,0.11,21.27,1358,130.67,59.4,130.4,Sub-Saharan Africa
8821795,6.48,3.5,0.03,21.5,723,134.2,57.4,108.6,Sub-Saharan Africa
13933660,3.05,0.6,0.29,20.8,2442,117.55,66.2,51.5,East Asia & Pacific
19570418,5.17,5.3,0.3,23.68,2571,127.28,56.6,113.8,Sub-Saharan Africa
33363256,1.68,0.2,16.35,27.45,41468,118.06,80.7,5.8,America
11139740,6.81,3.4,0.05,21.49,1753,127.86,54.8,168,Sub-Saharan Africa
16645940,1.89,0.4,4.24,27.02,18698,125.54,78.9,8.9,America
44901660,2.43,0.5,1.48,24.94,10489,124.02,75.1,19.7,America
665414,5.05,0.06,0.18,22.06,1440,132.14,62.6,91.2,Sub-Saharan Africa
3832771,5.1,3.5,0.38,21.87,5022,131.69,58.6,72.6,Sub-Saharan Africa
4429506,1.91,0.3,1.91,26.48,12219,121.35,79.7,10.3,America
19261647,4.91,3.7,0.36,22.56,2854,131.52,55.9,116.9,Sub-Saharan Africa
4344151,1.43,0.06,5.29,26.6,21873,130.39,76.5,5.9,Europe & Central Asia
11290239,1.5,0.1,2.7,25.07,17765,126.06,77.8,6.3,America
5495302,1.89,0.2,8.54,26.13,45017,119.58,78.7,4.3,Europe & Central Asia
809639,3.76,2.6,0.61,23.38,2502,129.34,61,81,Middle East & North Africa
14447600,2.73,0.4,2.11,25.59,9244,122.99,74,26.8,America
78976122,2.95,0.06,2.51,26.73,9974,125.09,70.1,31.4,Middle East & North Africa
6004199,2.32,0.8,1.07,26.37,7450,119.93,74.1,21.6,America
686223,5.31,4.7,6.8,23.77,40143,132.04,56.7,118.4,Sub-Saharan Africa
4500638,5.16,0.8,0.08,20.89,1088,125.79,60.4,60.4,Sub-Saharan Africa
1339941,1.62,1.2,13.03,26.26,24743,129.52,74,5.5,Europe & Central Asia
843206,2.74,0.1,1.28,26.53,7129,127.48,65.7,24,East Asia & Pacific
5314170,1.85,0.1,10.64,26.73,42122,126.56,79.4,3.3,Europe & Central Asia
62309529,1.97,0.4,6,25.85,37505,120.01,81,4.3,Europe & Central Asia
1473741,4.28,5.3,1.08,24.08,15800,130.36,57.5,68,Sub-Saharan Africa
1586749,5.8,1.7,0.25,21.65,1566,130.21,62.2,87.4,Sub-Saharan Africa
4343290,1.79,0.1,1.42,25.55,5900,130.58,72.1,19.3,Europe & Central Asia
80665906,1.37,0.1,9.5,27.17,41199,124.9,80,4.4,Europe & Central Asia
23115919,4.19,1.8,0.37,22.84,2907,128.3,62.7,79.9,Sub-Saharan Africa
11161755,1.46,0.1,8.66,26.34,32197,122.93,79.5,4.9,Europe & Central Asia
14106690,4.12,0.8,0.84,25.3,6960,120.96,70.8,36.9,America
10427360,5.34,1.4,0.13,22.52,1230,132.28,58.3,121,Sub-Saharan Africa
1561293,5.25,2.5,0.16,21.64,1326,130.76,51.3,127.6,Sub-Saharan Africa
748096,2.74,1.2,2.07,23.68,5208,125.15,63,41.9,America
9705130,3.5,2,0.25,23.66,1600,125.35,61.7,83.3,America
7259470,3.27,0.8,1.19,25.11,4391,122.96,70.9,26.5,America
10050700,1.33,0.06,5.45,27.12,23334,128.7,73.8,7.2,Europe & Central Asia
310033,2.12,0.3,6.82,27.21,42294,118.74,82,2.7,Europe & Central Asia
1197070000,2.64,0.32,1.52,20.96,3901,123.13,64.4,65.6,South Asia
235360800,2.48,0.2,1.76,21.86,7856,126.42,69.5,36.2,East Asia & Pacific
72530690,1.88,0.2,7.89,25.31,15955,125.19,76.9,21.4,Middle East & North Africa
4480145,2,0.2,9.88,27.65,47713,124.78,79.4,4.5,Europe & Central Asia
7093808,2.92,0.2,10,27.13,28562,121.08,80.9,4.9,Middle East & North Africa
59319230,1.39,0.3,7.47,26.48,37475,123.7,81.4,4.1,Europe & Central Asia
2717344,2.39,1.7,4.39,24,8951,125.37,75.5,18.9,America
127317900,1.34,0.06,9.54,23.5,34800,121.97,82.6,3.4,East Asia & Pacific
15915970,2.51,0.1,14.72,26.29,18797,128.85,66.1,25.9,Europe & Central Asia
38244440,4.76,6.3,0.27,21.59,2358,129.93,61.5,71,Sub-Saharan Africa
2144215,1.5,0.6,3.34,26.46,20977,129.57,72.3,10.5,Europe & Central Asia
4109389,1.57,0.1,4,27.2,14158,127.5,77.6,11.3,Middle East & North Africa
1972194,3.34,23.6,0.01,21.9,2041,131.14,45.2,114.2,Sub-Saharan Africa
3672782,5.19,1.6,0.16,21.9,588,131.26,61,100.9,Sub-Saharan Africa
3219802,1.42,0.1,4.5,26.86,23223,130.82,72,8.2,Europe & Central Asia
485079,1.63,0.3,22.17,27.43,95001,122.37,80.7,2.8,Europe & Central Asia
19926800,4.79,0.2,0.1,21.4,1528,132.84,63.4,66.7,Sub-Saharan Africa
13904670,5.78,11.2,0.08,22.03,674,133.94,51.4,101.1,Sub-Saharan Africa
27197420,2.05,0.5,7.75,24.73,19968,123.86,74.5,8,East Asia & Pacific
321026,2.38,0.06,3.28,23.22,12029,123.32,78.2,16,South Asia
14223400,6.82,1,0.04,21.79,1602,128.03,55.8,148.3,Sub-Saharan Africa
406392,1.38,0.1,6.18,27.68,27872,124.16,81.4,6.6,Europe & Central Asia
3414552,4.94,0.7,0.61,22.62,3356,129.99,63.6,103,Sub-Saharan Africa
1238013,1.58,0.9,3.08,25.16,14615,130.88,72.1,15.8,Sub-Saharan Africa
114972800,2.35,0.3,4.26,27.42,15826,122.12,75.7,17.9,America
4111168,1.49,0.4,1.31,24.24,3890,129.94,69.6,17.6,Europe & Central Asia
2629666,2.37,0.06,3.76,24.88,7563,129.75,63.2,34.8,East Asia & Pacific
31350540,2.44,0.1,1.59,25.63,6091,126.53,73.3,35.8,Middle East & North Africa
22994870,5.54,11.4,0.1,21.94,864,135.39,55,114.4,Sub-Saharan Africa
51030010,2.05,0.6,0.19,21.45,2891,123.14,60.8,87.2,East Asia & Pacific
26325180,2.9,0.4,0.11,20.76,1866,125.56,68.6,50.7,South Asia
16519860,1.77,0.2,10.53,26.02,47388,121.7,80.3,4.8,Europe & Central Asia
4285380,2.12,0.1,8.01,27.77,32122,118.74,80.2,6.4,East Asia & Pacific
5594524,2.72,0.2,0.78,25.77,4060,123.48,75.2,28.1,America
15085130,7.59,0.8,0.06,21.22,843,135.1,59.7,141.3,Sub-Saharan Africa
151115700,6.02,3.6,0.61,23.03,4684,135.49,58,140.9,Sub-Saharan Africa
4771633,1.96,0.1,10.53,26.93,65216,126.03,80.7,3.6,Europe & Central Asia
2652281,2.89,0.1,15.57,26.24,47799,126.89,74.6,11.9,Middle East & North Africa
163097000,3.58,0.1,0.94,22.3,4187,126.52,64.1,95.5,South Asia
3498679,2.61,0.9,2.22,26.27,14033,122.68,77.1,21,America
6540267,4.07,0.9,0.53,25.02,1982,120.05,58.2,69.7,East Asia & Pacific
6047131,3.06,0.3,0.7,25.54,6684,123.62,73.6,25.7,America
28642048,2.58,0.4,1.45,24.77,9249,119.64,76.8,23.2,America
90297115,3.26,0.06,0.84,22.87,5332,122.35,69.4,33.4,East Asia & Pacific
38525752,1.33,0.1,8.27,26.67,19996,129.68,75.3,6.7,Europe & Central Asia
10577458,1.36,0.5,5.49,26.68,27747,127.26,79.2,4.1,Europe & Central Asia
1388962,2.2,0.06,48.7,28.13,126076,126.32,80.4,9.5,Middle East & North Africa
20741669,1.34,0.1,4.38,25.41,18032,128.76,73.4,16.1,Europe & Central Asia
143123163,1.49,1,11.98,26.01,22506,128.49,67.6,13.5,Europe & Central Asia
9750314,5.06,2.9,0.05,22.55,1173,135.1,62.2,78.3,Sub-Saharan Africa
12229703,5.11,0.8,0.46,21.93,2162,130.28,64.3,75.8,Sub-Saharan Africa
9109535,1.41,0.1,5.27,26.51,12522,130.38,76.4,8,Europe & Central Asia
5521838,5.13,1.6,0.12,22.53,1289,134.72,55.9,179.1,Sub-Saharan Africa
4849641,1.28,0.1,4.11,23.84,65991,121.17,80.9,2.8,East Asia & Pacific
5396710,1.31,0.06,6.9,26.93,24670,129.53,74.8,8.8,Europe & Central Asia
2030599,1.43,0.06,8.51,27.44,30816,129.92,78.5,3.7,Europe & Central Asia
9132589,7.06,0.6,0.07,21.97,615,131.53,56.7,168.5,Sub-Saharan Africa
50348811,2.54,17.9,9.43,26.86,12263,130.99,55,66.1,Sub-Saharan Africa
45817016,1.42,0.4,7.29,27.5,34676,122.05,81.1,5,Europe & Central Asia
19949553,2.32,0.06,0.58,21.97,6907,124.86,74.3,11.7,South Asia
34470138,4.79,1,0.38,22.4,3246,129.72,67.4,84.7,Sub-Saharan Africa
506657,2.41,1,4.74,25.5,13470,124.64,69.1,26.4,America
1153750,3.7,25.9,0.95,23.17,5887,131.88,46.1,112.2,Sub-Saharan Africa
9226333,1.92,0.1,5.32,26.38,43421,122.95,81.1,3.2,Europe & Central Asia
7646542,1.47,0.4,5.33,26.2,55020,119.65,81.9,4.7,Europe & Central Asia
7254072,3.7,0.2,0.45,23.78,2001,129.97,69.5,56.2,Europe & Central Asia
42844744,5.54,5.8,0.15,22.48,2030,130.83,59.7,72.4,Sub-Saharan Africa
66453255,1.48,1.3,3.84,23.01,12216,120.5,74.1,15.6,East Asia & Pacific
6052937,4.88,3.2,0.25,21.88,1219,131.02,60,96.4,Sub-Saharan Africa
1315372,1.8,1.5,31.96,26.4,30875,124.99,71.3,24.9,America
10408091,2.04,0.06,2.44,25.16,9938,128.63,76.5,19.4,Middle East & North Africa
70344357,2.15,0.06,4.02,26.7,16454,124.07,75.1,22.2,Europe & Central Asia
31014427,6.34,6.4,0.1,22.36,1437,134.52,57.2,89.3,Sub-Saharan Africa
46028476,1.38,1.1,7.03,25.42,8762,131.5,68.2,12.9,Europe & Central Asia
61689620,1.87,0.2,8.53,27.39,37739,124.08,79.5,5.6,Europe & Central Asia
304473143,2.07,0.6,18.55,28.46,50384,118.48,78.2,7.7,America
3350832,2.11,0.5,2.49,26.39,15317,124.26,76,13,America
26952719,2.46,0.1,4.48,25.32,3733,124.35,68.7,49.2,Europe & Central Asia
86589342,1.86,0.4,1.48,20.92,4085,121.94,75.4,26.2,East Asia & Pacific
13114579,5.88,13.6,0.15,20.68,3039,132.45,52,94.9,Sub-Saharan Africa
13495462,3.85,15.1,0.65,22.03,1286,131.97,49,98.3,Sub-Saharan Africa
